OCC|Date exportation|Pays d'exportation|Quantite|PU|PT|EQ DT|EQ EU|Devise|Produit
ecocert|2024-10-01|Portugal|10000.0|4.0|40000|134400.0|40000.0|1.0|Poudre de dattes
ecocert|2024-10-01|Allemagne|2160.0|4.0|8640|29030.4|8640.0|1.0|Dattes Dénoyautées
ecocert|2024-10-01|Allemagne|1215.0|4.0|4860|16329.6|4860.0|1.0|Dattes Dénoyautées
ecocert|2024-10-01|Allemagne|10260.0|4.0|41040|137894.4|41040.0|1.0|Dattes Dénoyautées
ecocert|2024-10-01|Allemagne|1080.0|4.0|4320|14515.2|4320.0|1.0|Dattes Dénoyautées
ecocert|2024-10-03|France|20000.0|4.0|80000|269600.0|80000.0|1.0|Dattes Dénoyautées
ecocert|2024-10-04|Allemagne|20000.0|4.0|80000|268800.0|80000.0|1.0|Dattes Dénoyautées
ecocert|2024-10-07|Portugal|10000.0|4.0|40000|134000.0|40000.0|1.0|Poudre de dattes
ecocert|2024-10-08|Suisse|20880.0|4.0|83520|279792.0|83520.0|1.0|Dattes Dénoyautées
ecocert|2024-10-08|Danemark|10375.2|4.0|41500.8|139027.68|41500.8|1.0|Dattes Dénoyautées
ecocert|2024-10-08|Suisse|20880.0|4.0|83520|279792.0|83520.0|1.0|dattes standards
ecocert|2024-10-09|Espagne|4480.0|4.0|17920|60032.0|17920.0|1.0|pâte de datte
ecocert|2024-10-10|Autriche|16896.0|4.0|67584|227082.24|67584.0|1.0|Dattes Dénoyautées
ecocert|2024-10-10|Allemagne|1440.0|4.0|5760|19353.6|5760.0|1.0|Dattes Dénoyautées
ecocert|2024-10-10|Allemagne|1620.0|4.0|6480|21772.8|6480.0|1.0|Dattes Dénoyautées
ecocert|2024-10-10|Allemagne|864.0|4.0|3456|11612.16|3456.0|1.0|Dattes Dénoyautées
ecocert|2024-10-10|Allemagne|3456.0|4.0|13824|46448.64|13824.0|1.0|Dattes Dénoyautées
ecocert|2024-10-10|Autriche|16896.0|4.0|67584|227082.24|67584.0|1.0|dattes standards
ecocert|2024-10-10|Allemagne|9720.0|4.0|38880|130636.8|38880.0|1.0|Dattes Dénoyautées
ecocert|2024-10-10|Allemagne|1440.0|4.0|5760|19353.6|5760.0|1.0|pâte de datte
ecocert|2024-10-10|Allemagne|1620.0|4.0|6480|21772.8|6480.0|1.0|Poudre de dattes
ecocert|2024-10-10|Allemagne|864.0|4.0|3456|11612.16|3456.0|1.0|dattes conditionnées
ecocert|2024-10-10|Allemagne|3456.0|4.0|13824|46448.64|13824.0|1.0|dattes conditionnées
ecocert|2024-10-11|Autriche|6528.0|4.0|26112|87475.2|26112.0|1.0|Dattes Dénoyautées
ecocert|2024-10-11|Suisse|4980.0|4.0|19920|66732.0|19920.0|1.0|Dattes Dénoyautées
ecocert|2024-10-11|Autriche|6528.0|4.0|26112|87475.2|26112.0|1.0|dattes standards
