OCC|Date exportation|Pays d'exportation|Quantite|PU|PT|Devise|EQ EU|EQ DT|Produit
ccpb|2024-11-12 00:00:00|Trinité et Tobago|58.0|30.37|1761.35|3.32|1761.46|5848.0472|Huile d'olive
ccpb|2024-11-22 00:00:00|uae|943.0|20.997|19800.171|3.29|19008.1642|62536.8601|Huile d'olive
ccpb|2025-01-08 00:00:00|Italie|30000.0|4.7|141000.0|3.32|141000.0|468120.0|Huile d'olive
ccpb|2025-02-04 00:00:00|USA|140.0|39.86557142857143|5581.18|3.32|5581.18|18529.5176|Huile d'olive
ccpb|2025-02-04 00:00:00|Korea|770.0|24.08615584415584|18546.34|3.32|18546.34|61573.8488|Huile d'olive
ccpb|2025-02-03 00:00:00|Suisse|5666.0|9.644461701376631|54645.52|3.32|54645.52|181423.1264|Huile d'olive
ccpb|2025-02-12 00:00:00|Japon|343.0|36.04113702623907|12362.11|3.3|12362.11|40794.963|Huile d'olive
ccpb|2025-02-12 00:00:00|Oman|2649.0|17.97305775764439|47610.63|3.3|47610.63|157115.079|Huile d'olive
ccpb|2025-02-12 00:00:00|Malaisie|1539.0|34.2722547108512|52745.0|3.3|52745.0|174058.5|Huile d'olive
ccpb|2025-02-13 00:00:00|USA|1390.0|18.91161151079137|26287.14|3.3|26287.14|86747.56199999999|Huile d'olive
ccpb|2025-02-13 00:00:00|USA|107.0|34.31691588785046|3671.91|3.3|3671.91|12117.303|Huile d'olive
ccpb|2025-02-13 00:00:00|USA|121.0|34.23694214876033|4142.67|3.3|4142.67|13670.811|Huile d'olive
ccpb|2025-02-13 00:00:00|USA|157.0|32.11076433121019|5041.39|3.3|5041.39|16636.587|Huile d'olive
ccpb|2025-02-13 00:00:00|USA|283.0|13.153074204947|3722.32|3.3|3722.32|12283.656|Huile d'olive
ccpb|2025-03-13 00:00:00|Korea|1374.0|0.921|22.0|3.355|27839.988|93403.15974|Huile d'olive
ccpb|2025-03-28 00:00:00|Pays-Bas|422.0|21.45|9052.0|3.36|9052.0|30414.72|Huile d'olive
ccpb|2025-05-02 00:00:00|taiwan|508.0|0.001732283464566929|0.88|inconnu|||Huile d'olive
ccpb|2025-06-04 00:00:00|France|154000.0|3.88|597520.0|3.36|597520.0|2007667.2|Huile d'olive
ccpb|2025-06-05 00:00:00| Allemagne|9894.6|5.886362258201443|58243.2|3.36|58243.2|195697.152|Huile d'olive
ccpb|2025-06-18 00:00:00|Korea|907.0|19.42867695700111|17621.81|3.4|17621.81|59914.154|Huile d'olive
ccpb|2025-06-24 00:00:00|QATAR|1385.0|6.94|9611.9|3.35|9611.9|32199.865|Huile d'olive
ccpb|2025-06-24 00:00:00|USA|495.0|16.2330101010101|8035.34|3.34|8035.34|26838.0356|Huile d'olive
ccpb|2025-06-27 00:00:00|France|154000.0|3.88|597520.0|3.35|597520.0|2001692.0|Huile d'olive
ccpb|2025-07-04 00:00:00|Japon|47.0|31.09255319148936|1461.35|3.36|1461.35|4910.136|Huile d'olive
ccpb|2025-07-17 00:00:00|Korea|990.0|14.05430303030303|13913.76|3.34|13914.62|46474.8308|Huile d'olive
ccpb|2025-07-21 00:00:00|Malaisie|6525.0|6.674921072796935|43553.86|3.36|43554.72|146343.8592|Huile d’olive 
ccpb|2025-07-29 00:00:00|BAHRAIN|1649.0|27.99491813220133|46163.62|3.35|46164.48|154651.008|Huile d'olive
ccpb|2025-10-29 00:00:00|Malaisie|770.0|29.76685714285714|22920.48|3.41|22920.48|78158.8368|Huile d'olive
les molins mahjoub|2024-11-13 00:00:00|uae|71.37|10.01|714.4137000000001|3.33|714.4137000000001|2378.997621|huile d'olives
les molins mahjoub|2024-11-13 00:00:00|danemark|164.7|13|2141.1|3.33|2141.1|7129.863|huile d'olives
les molins mahjoub|2024-11-21 00:00:00|belgiqe|1361.52|6.425|8747.766|3.31|8747.766|28955.10546|huile d'olives
les molins mahjoub|2024-12-26 00:00:00|uk|387.045|9.321086695345503|3607.68|3.31|4329.216|14329.70496|huile d'olives
les molins mahjoub|2024-12-26 00:00:00|USa|3161.14|12.025|38012.7085|3.31|36492.20016|120789.1825296|huile d'olives
